,Star_name,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,2.6716687463389904e+34
1,2MASS J00040288-6410358,192.0,19,1.63,3.9011275850497797e+33
3,2MASS J00242463-0158201,37.7,79,1.09,3.627319889681366e+34
5,2MASS J00274197+0503417,236.0,31,1.44,8.15546017864384e+33
7,2MASSW J0030300-145033,87.2,54,0.98,3.067279628876198e+34
8,2MASS J00332386-1521309 [de],131.0,29,1.43,7.736378063548185e+33
9,2MASS J00345157+0523050,31.0,42,0.94,2.59301688660139e+34
10,2MASS 0036+1821,28.6,42,0.94,2.59301688660139e+34
11,2MASSW J0045214+163445,57.0,23,1.62,4.7808989975960704e+33
12,WISEP J004701.06+680352.1 [fr],40.0,12,1.3,3.873524464921367e+33
13,2MASS J00501994-3322402 [de],34.0,40,0.94,2.469539892001324e+34
15,2MASS J00584253-0651239 [de],96.0,29,1.43,7.736378063548185e+33
17,2MASSI J0103320+193536,70.0,52,0.98,2.95367667965856e+34
18,SDSSp J010752.33+004156.1 [de],51.0,52,0.98,2.95367667965856e+34
19,2MASSI J0117474-340325 [de],163.0,20,1.62,4.1573034761704966e+33
20,2MASS J01415823-4633574 [de],130.0,20,1.61,4.2091073812205747e+33
21,SDSS J015141.69+124429.6,70.0,47,0.97,2.724997770297093e+34
25,SDSS J020742.48+000056.2 [de],111.0,47,0.97,2.724997770297093e+34
26,2MASS J02103857-3015313,101.0,15,1.53,3.4955873519357467e+33
27,2MASS J02340093-6442068,155.0,20,1.62,4.1573034761704966e+33
28,2MASS J02411151-0326587 [de],152.0,27,1.41,7.408619676003975e+33
29,2MASS J02431371−2453298,35.0,33,0.99,1.8367722631080557e+34
30,LP 771-21,53.0,78,1.08,3.6480338003396104e+34
32,Teegarden's star,12.578,80,1.27,2.7057913678124745e+34
33,2MASS J02535980+3206373,184.0,65,1.9,9.82240679759031e+33
34,WISE J0254+0223,24.0,65,1.9,9.82240679759031e+33
35,DEN 0255-4700,16.2,80,0.97,4.638294077101435e+34
36,2MASS J03185403-3421292 [de],45.0,49,0.97,2.840955122224629e+34
37,2MASS J03205965+1854233,47.0,88,1.15,3.6299342055646245e+34
38,2MASS J03231002-4631237,192.0,23,1.66,4.5532701877235906e+33
39,SDSS J032553.17+042540.1,59.0,45,0.95,2.7200511131788547e+34
40,2MASS J03264225-2102057 [de],80.0,18,1.3,5.810286697382051e+33
